object_id,stname,dtname,sdtname,st_area_sh,st_length_,remarks,dist_lgd,state_lgd,subdt_lgd,ac_no,st_length(shape),st_area(shape),max,mean,count,sum
10-210-01125,BIHAR,Kishanganj,Bahadurganj,0.0,0.0,,203,10,1125,,155296.13881782343,347494200.8377232,0.008479387998580933,0.007491376275174758,255,1.9103009501695634
10-210-01126,BIHAR,Kishanganj,Kochadhamin,0.0,0.0,,203,10,1126,,139640.52665725534,360840233.8364798,0.008479387998580933,0.007219240755413686,261,1.884221837162972
10-211-01128,BIHAR,Purnia,Banmankhi,0.0,0.0,,214,10,1128,,142815.61519736593,459936087.34673214,0.027600582122802735,0.02341108050439172,334,7.8193008884668345
10-206-01075,BIHAR,Sitamarhi,Bajpatti,0.0,0.0,,221,10,1075,,90407.29439213518,174303329.1783474,0.03404591674804688,0.024738951371355757,123,3.042891018676758
10-206-01076,BIHAR,Sitamarhi,Charaut,0.0,0.0,,221,10,1076,,85128.15752493152,91349700.81924292,0.03404591674804688,0.034045916748046884,68,2.315122338867188
10-206-01077,BIHAR,Sitamarhi,Pupri,0.0,0.0,,221,10,1077,,73992.24203369493,115338203.66308306,0.03404591674804688,0.034045916748046884,81,2.7577192565917974
10-206-01078,BIHAR,Sitamarhi,Nanpur,0.0,0.0,,221,10,1078,,73315.01223618646,135892566.9983101,0.03404591674804688,0.025610257228215538,96,2.4585846939086915
10-220-01283,BIHAR,Vaishali,Mahnar,0.0,0.0,,224,10,1283,,81638.1139853176,126474580.44313861,0.0007851817607879639,0.0003842378829387908,94,0.03611836099624634
10-206-01079,BIHAR,Sitamarhi,Bokhara,0.0,0.0,,221,10,1079,,81978.13188098712,108574895.39827529,0.03404591674804688,0.011430300236955473,79,0.9029937187194824
10-207-01080,BIHAR,Madhubani,Madhwapur,0.0,0.0,,206,10,1080,,88808.76172423853,137557654.90878707,0.03556092987060547,0.03418505060624103,98,3.350134959411621
10-207-01081,BIHAR,Madhubani,Harlakhi,0.0,0.0,,206,10,1081,,90217.76640094945,187441757.00046396,0.03556092987060547,0.03536519813259152,137,4.845032144165039
10-207-01082,BIHAR,Madhubani,Basopatti,0.0,0.0,,206,10,1082,,97634.90682970545,164238774.4639331,0.03556092987060547,0.03536765076452944,119,4.208750440979004
10-207-01089,BIHAR,Madhubani,Khajauli,0.0,0.0,,206,10,1089,,91171.28062794723,150968724.81279027,0.03556092987060547,0.01832438620121107,109,1.9973580959320065
10-207-01083,BIHAR,Madhubani,Jainagar,0.0,0.0,,206,10,1083,,81489.61423509955,161880108.8306139,0.03556092987060547,0.022960721959823217,117,2.6864044692993163
10-207-01090,BIHAR,Madhubani,Kaluahi,0.0,0.0,,206,10,1090,,62305.281593423286,101560283.08963235,0.03556092987060547,0.03527678237212331,76,2.6810354602813717
10-207-01084,BIHAR,Madhubani,Ladania,0.0,0.0,,206,10,1084,,97928.14946240213,232665607.5684243,0.03225781478881836,0.015067653407820736,166,2.5012304656982423
10-207-01085,BIHAR,Madhubani,Laukaha,0.0,0.0,,206,10,1085,,102032.19667129294,266340932.00179368,0.03225781478881836,0.03225781478881836,193,6.225758254241944
10-207-01086,BIHAR,Madhubani,Laukahi,0.0,0.0,,206,10,1086,,109679.24973352649,329223432.564553,0.047879837036132813,0.03360736492494994,237,7.964945487213136
10-207-01087,BIHAR,Madhubani,Phulparas,0.0,0.0,,206,10,1087,,117974.41186319289,199352334.8677591,0.03225781478881836,0.028045690118450015,146,4.094670757293702
10-207-01088,BIHAR,Madhubani,Babubarhi,0.0,0.0,,206,10,1088,,118996.04641992833,237192379.86086744,0.03225781478881836,0.016080413026754566,173,2.78191145362854
10-207-01091,BIHAR,Madhubani,Benipatti,0.0,0.0,,206,10,1091,,128414.2409747215,328987645.9449377,0.03556092987060547,0.03505810223941144,232,8.133479719543455
10-207-01092,BIHAR,Madhubani,Bisfi,0.0,0.0,,206,10,1092,,99754.46134559005,226192948.413646,0.03556092987060547,0.009311199633658299,163,1.5177255402863026
10-207-01093,BIHAR,Madhubani,Madhubani,0.0,0.0,,206,10,1093,,109764.71764889831,200359220.56727448,0.03556092987060547,0.008175379427062705,141,1.1527284992158413
10-207-01094,BIHAR,Madhubani,Pandaul,0.0,0.0,,206,10,1094,,102372.75527307783,208327489.63825428,0.01775707702636719,0.008123994610071182,150,1.2185991915106773
10-207-01096,BIHAR,Madhubani,Andhratharhi,0.0,0.0,,206,10,1096,,97300.5167595078,186769445.10608673,0.03225781478881836,0.01661313049374646,131,2.1763200946807864
10-207-01097,BIHAR,Madhubani,Jhanjharpur,0.0,0.0,,206,10,1097,,125261.96837896874,181284371.95402232,0.02418342208862305,0.017953301303077294,131,2.3518824707031256
10-207-01098,BIHAR,Madhubani,Ghoghardiha,0.0,0.0,,206,10,1098,,114215.40677637524,211228851.4219488,0.02418342208862305,0.02418342208862305,154,3.7242470016479494
10-207-01099,BIHAR,Madhubani,Lakhnaur,0.0,0.0,,206,10,1099,,72956.74167609161,146945623.14022,0.02418342208862305,0.018341290213844997,110,2.0175419235229497
10-207-01100,BIHAR,Madhubani,Madhepur,0.0,0.0,,206,10,1100,,144505.38034518834,300452948.5687113,0.02418342208862305,0.01987523653229078,210,4.1737996717810635
10-208-01101,BIHAR,Supaul,Nirmali,0.0,0.0,,223,10,1101,,123310.21889922836,162734364.67066902,0.047879837036132813,0.039891139751010475,117,4.667263350868225
10-208-01102,BIHAR,Supaul,Basantpur,0.0,0.0,,223,10,1102,,136288.63693043106,319456339.75100917,0.057419692993164066,0.055165475496069184,231,12.743224839591981
10-208-01103,BIHAR,Supaul,Chhatapur,0.0,0.0,,223,10,1103,,142271.17176584958,398825687.2446475,0.07269857177734375,0.06903358748280879,289,19.95070678253174
10-208-01104,BIHAR,Supaul,Pratapganj,0.0,0.0,,223,10,1104,,71155.69013184242,133032565.19323792,0.07269857177734375,0.07269857177734375,98,7.1244600341796875
10-208-01105,BIHAR,Supaul,Raghopur,0.0,0.0,,223,10,1105,,111831.20983491397,255841046.48838165,0.07269857177734375,0.05647262809419892,183,10.334490941238403
10-221-01285,BIHAR,Samastipur,Warisnagar,0.0,0.0,,217,10,1285,,90241.30323013186,163846086.5162723,0.0005131043314933777,0.0004067208499467674,119,0.04839978114366532
10-208-01106,BIHAR,Supaul,Saraigarh Bhaptiyahi,0.0,0.0,,223,10,1106,,105489.5116383213,257042943.27229512,0.047879837036132813,0.04656986027891918,186,8.661994011878967
10-208-01107,BIHAR,Supaul,Kishanpur,0.0,0.0,,223,10,1107,,125516.73810076228,248613546.3002807,0.047879837036132813,0.04024878815473136,177,7.124035503387451
10-208-01108,BIHAR,Supaul,Marauna,0.0,0.0,,223,10,1108,,114969.59778192453,206419565.01179272,0.02418342208862305,0.02418342208862305,154,3.7242470016479494
10-208-01109,BIHAR,Supaul,Supaul,0.0,0.0,,223,10,1109,,122628.008173687,390920691.5720901,0.047879837036132813,0.017435010798579682,289,5.038718120789528
10-208-01110,BIHAR,Supaul,Pipra,0.0,0.0,,223,10,1110,,113516.78657800167,247320462.25611627,0.047879837036132813,0.039787646616299945,180,7.16177639093399
10-221-01287,BIHAR,Samastipur,Khanpur,0.0,0.0,,217,10,1287,,89337.20668890505,173313349.37261373,0.0005131043314933777,0.00016696252056530545,126,0.021037277591228486
10-208-01111,BIHAR,Supaul,Tribeniganj,0.0,0.0,,223,10,1111,,136684.8917573132,402291551.99740016,0.07269857177734375,0.048696888271857953,290,14.122097598838806
10-209-01112,BIHAR,Araria,Narpatganj,0.0,0.0,,188,10,1112,,196352.82868709194,482872068.7863751,0.07269857177734375,0.0420526017851376,347,14.592252819442749
10-209-01113,BIHAR,Araria,Forbesganj,0.0,0.0,,188,10,1113,,165874.55860340688,546946456.996027,0.02381178092956543,0.01849454471262256,398,7.360828795623779
10-209-01114,BIHAR,Araria,Bhargama,0.0,0.0,,188,10,1114,,140909.75235341018,280499778.1128878,0.07269857177734375,0.02771821019789752,204,5.654514880371094
10-209-01115,BIHAR,Araria,Raniganj,0.0,0.0,,188,10,1115,,160625.61646677545,576910744.770993,0.023424214935302737,0.020777653399365284,420,8.72661442773342
10-209-01116,BIHAR,Araria,Araria,0.0,0.0,,188,10,1116,,192057.15187743204,506918787.2643526,0.009671390306949615,0.005635198127566618,363,2.0455769203066825
10-209-01117,BIHAR,Araria,Kursakatta,0.0,0.0,,188,10,1117,,96566.38525637137,201032230.408231,0.02381178092956543,0.008715002561595343,146,1.27239037399292
10-209-01118,BIHAR,Araria,Sikti,0.0,0.0,,188,10,1118,,116798.35346995249,237753016.2819182,0.011414204788208008,0.006032772057977589,176,1.0617678822040557
10-209-01119,BIHAR,Araria,Palasi,0.0,0.0,,188,10,1119,,132578.70192307016,306240761.34804773,0.007055981278419495,0.004157311995679682,220,0.91460863904953
10-209-01120,BIHAR,Araria,Jokihat,0.0,0.0,,188,10,1120,,155370.9524619173,341005127.7602247,0.009671390306949615,0.007632718964401556,245,1.8700161462783813
10-210-01121,BIHAR,Kishanganj,Terhagachh,0.0,0.0,,203,10,1121,,121953.02658094271,245208326.38245347,0.007055981278419495,0.0055818196426616635,178,0.9935638963937761
10-210-01122,BIHAR,Kishanganj,Dighalbank,0.0,0.0,,203,10,1122,,147432.83262190674,314385668.4331173,0.01972591438293457,0.008131887582171659,223,1.8134109308242798
10-211-01129,BIHAR,Purnia,Barhara,0.0,0.0,,214,10,1129,,111073.17449432175,288009141.38478667,0.021292409014701846,0.016894183084611117,209,3.5308842646837237
10-211-01130,BIHAR,Purnia,Bhawanipur,0.0,0.0,,214,10,1130,,116656.34435182877,201938838.4795833,0.021292409014701846,0.008796219506069108,147,1.2930442673921587
10-211-01131,BIHAR,Purnia,Rupauli,0.0,0.0,,214,10,1131,,113946.660566684,308195114.8462847,0.0025041591644287113,0.001906063420613607,225,0.42886426963806157
10-211-01132,BIHAR,Purnia,Dhamdaha,0.0,0.0,,214,10,1132,,135370.01293426772,446856166.039676,0.021292409014701846,0.021114773797334695,328,6.92564580552578
10-211-01133,BIHAR,Purnia,Krityanand Nagar,0.0,0.0,,214,10,1133,,149407.41850079046,364443041.21247435,0.023424214935302737,0.015914300774988142,265,4.217289705371858
10-211-01134,BIHAR,Purnia,Purnia East,0.0,0.0,,214,10,1134,,127662.13358515713,309272824.56310594,0.010407007598876954,0.009939992935406533,228,2.2663183892726897
10-211-01135,BIHAR,Purnia,Kasba,0.0,0.0,,214,10,1135,,130095.64608516233,215123054.3424731,0.010407007598876954,0.009758089747246665,157,1.5320200903177263
10-211-01136,BIHAR,Purnia,Srinagar,0.0,0.0,,214,10,1136,,106220.57404900706,172405807.6412187,0.023424214935302737,0.01330227954960245,127,1.6893895027995112
10-211-01137,BIHAR,Purnia,Jalalgarh,0.0,0.0,,214,10,1137,,87146.39992638786,142107808.6772385,0.009671390306949615,0.009671390306949617,99,0.957467640388012
10-211-01138,BIHAR,Purnia,Amour,0.0,0.0,,214,10,1138,,141371.93624621196,307011870.96961224,0.009671390306949615,0.006641842485529131,226,1.5010564017295835
10-211-01139,BIHAR,Purnia,Baisa,0.0,0.0,,214,10,1139,,132173.35304950457,275191667.549805,0.006281896209716797,0.006281896209716796,197,1.237533553314209
10-211-01140,BIHAR,Purnia,Baisi,0.0,0.0,,214,10,1140,,118169.54825440844,253873549.02719215,0.010407007598876954,0.009061383028081396,187,1.694478626251221
10-211-01141,BIHAR,Purnia,Dagarua,0.0,0.0,,214,10,1141,,129309.28146976323,257465778.6329552,0.010407007598876954,0.010002703304491616,184,1.8404974080264573
10-212-01142,BIHAR,Katihar,Falka,0.0,0.0,,201,10,1142,,100518.70580952488,208374539.8829749,0.021292409014701846,0.01321041040850791,151,1.9947719716846946
